wine,price,country,rating
Siepi,168.75,Italie,4.4
Tignanello,750.0,Italie,4.5
Tenuta Nuova Brunello di Montalcino,420.0,Italie,4.5
Altero Brunello di Montalcino,121.25,Italie,4.4
Saint-Émilion Grand Cru (Premier Grand Cru Classé),726.25,France,4.6
Hermitage La Chapelle Rouge,310.0,France,4.3
Barolo Rocche,202.5,Italie,4.4
Montepulciano d'Abruzzo,248.25,Italie,4.2
Vürsù Barbaresco Starderi,262.5,Italie,4.4
Barolo Rocche,276.25,Italie,4.4
Brunello di Montalcino,367.5,Italie,4.4
Pauillac (Premier Grand Cru Classé),2753.75,France,4.6
Sassicaia,661.25,Italie,4.6
Bolgheri Superiore,1238.75,Italie,4.6
Carruades de Lafite Pauillac,731.25,France,4.4
5 Stelle Sfursat,130.0,Italie,4.5
Barbaresco,533.75,Italie,4.5
Sperss Barolo,618.75,Italie,4.6
Darmagi Langhe,420.0,Italie,4.5
Vigna Cappella di S. Stefano Perno Barolo,148.75,Italie,4.4
Cristal Brut Champagne (Millésimé),896.25,France,4.6
Cristal Rosé Brut Champagne (Millésimé),3202.5,France,4.6
Vürsù Barbaresco Starderi,256.25,Italie,4.4
Costa Russi (Barbaresco) Langhe,811.25,Italie,4.6
Barbaresco,533.75,Italie,4.5
Sassicaia,1408.75,Italie,4.6
Sassicaia,1686.25,Italie,4.6
Sassicaia,747.5,Italie,4.6
Sassicaia,618.75,Italie,4.6
Sassicaia,618.75,Italie,4.6
Sassicaia,1537.5,Italie,4.6
Barolo Ginestra Vigna del Gris,243.75,Italie,4.3
Barolo Rocche,276.25,Italie,4.4
Vürsù Barbaresco Valeirano,208.75,Italie,4.4
Amarone della Valpolicella Classico,212.5,Italie,4.4
Bric Dël Fiasc Barolo,221.25,Italie,4.3
Redigaffi Toscana,493.75,Italie,4.5
Barbaresco,533.75,Italie,4.5
Barbaresco,1025.0,Italie,4.5
Redigaffi Toscana,921.25,Italie,4.5
Darmagi Langhe,353.75,Italie,4.5
Barbaresco,491.25,Italie,4.5
Costa Russi (Barbaresco) Langhe,1387.5,Italie,4.6
25 anni Montefalco Sagrantino,85.0,Italie,4.3
Sorì Tildìn (Barbaresco) Langhe,597.5,Italie,4.6
Barbaresco,512.5,Italie,4.5
Sorì Tildìn (Barbaresco) Langhe,811.25,Italie,4.6
Tignanello,491.25,Italie,4.5
Cristal Brut Champagne (Millésimé),1900.0,France,4.6
Cristal Brut Champagne (Millésimé),630.0,France,4.6
Pauillac (Premier Grand Cru Classé),1238.75,France,4.6
Pauillac (Premier Grand Cru Classé),5977.5,France,4.6
Pauillac (Premier Grand Cru Classé),1082.55,France,4.6
Pauillac (Premier Grand Cru Classé),635.25,France,4.6
Brunello di Montalcino,142.5,Italie,4.3
Altero Brunello di Montalcino,123.75,Italie,4.4
Barolo Bricco Gattera,250.0,Italie,4.4
Special Selection Cabernet Sauvignon,397.5,États-Unis,4.7
Sperss Barolo,533.75,Italie,4.6
Vürsù Barbaresco Starderi,307.5,Italie,4.4
Pauillac (Premier Grand Cru Classé),1900.0,France,4.6
Pauillac (Premier Grand Cru Classé),1387.5,France,4.6
Pauillac (Premier Grand Cru Classé),1473.75,France,4.6
Cuvée Nicolas François Billecart Brut Champagne,360.0,France,4.5
Scrio,243.75,Italie,4.3
Messorio,420.0,Italie,4.5
Tignanello,840.0,Italie,4.5
Cepparello Red,148.75,Italie,4.3
Tignanello,287.5,Italie,4.5
Barbaresco,491.25,Italie,4.5
Messorio,618.75,Italie,4.5
Clos du Mesnil,5017.5,France,4.7
Collection,2455.0,France,4.7
